Use Case ID,Use Case Name,Agency,Bureau / Department,Summary of Use Case,Stage of System Development Life Cycle,"Date Initiated, If Applicable","Date when Development and/or Acquisition began, If Applicable","Date Implemented, If Applicable",Developer Information,Consistent with EO 13960?,Explanation for inconsistencies with EO 13960,What specific AI techniques were used?,Where did/does the training data originate?,Does the agency have access to the code associated with this AI use case?,"If the source code is publicly available, provide the link.",Is the agency able to conduct ongoing testing on the code?,Is the agency able to monitor and/or audit performance?
USDA-1,4% Repair Dashboard,USDA,ARS,"The model reviews the descriptions of expenses tagged to repairs and maintenance and classifies expenses as ""repair"" or ""not repair"" based on keywords in context.",Operation and Management,,,,In-house,Yes,,"[""Natural Language Processing""]",Agency Generated,Yes,,Yes,Yes
USDA-2,ARS Project Mapping,USDA,ARS,NLP of research project plans including term analysis and clustering enables national program leaders to work with an interactive dashboard to find synergies and patterns within and across the various ARS research program portfolios.,Operation and Management,1/1/2020,1/1/2021,5/1/2022,Contracted,Yes,,"[""Natural Language Processing""]",Agency Generated,Yes,,Yes,Yes
USDA-3,NAL Automated indexing,USDA,ARS,"Cogito (vendor) software, uses AI for automated subject indexing to annotate peer reviewed journal articles (~500,000 annually) using the National Ag Library Thesaurus concept space (NALT). Only NALT concepts are annotated as metadata to content in the Library's bibliographic citation database, AGRICOLA, PubAg, and Ag Data Commons.",Operation and Management,6/1/2011,6/1/2012,12/1/2012,In-house,Yes,,"[""Natural Language Processing""]",Agency Generated,No,,Yes,Yes
USDA-4,Predictive modeling of invasive pest species and category at the port of entry using machine learning algorithms,USDA,APHIS,Macine learning algorithms are used to develop with inspection data and improve prediction ability of detecting invasive/quarantine significant pests at the port of entry.,Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,No,,No,No
USDA-5,Detection of pre-symptomatic HLB infected citrus,USDA,APHIS,Identify pixels with HLB infection signature in multispectral and thermal imagery,Operation and Management,,,,In-house,Yes,,"[""Visual Analysis""]",Agency Generated,No,,No,Yes
USDA-6,High throughput phenotyping in citrus orchards,USDA,APHIS,"Locate, count, and categorize citrus trees in an orchard to monitor orchard health",Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,No,,No,Yes
USDA-7,Detection of aquatic weeds,USDA,APHIS,Identify and locate aquatic weeds,Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,Yes,,No,No
USDA-8,Automated Detection & Mapping of Host Plants from Ground Level Imagery,USDA,APHIS,Generate maps of target trees from ground-level (streetview) imagery,Development and Acquisition,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,Yes,,No,No
USDA-9,Democratizing Data,USDA,ERS,"The purpose of this project is to use AI tools, machine learning and natural language processing to understand how publicly-funded data and evidence are used to serve science and society.",Implementation,,,,In-house,Yes,,"[""Natural Language Processing""]",Agency Generated,No,,Yes,Yes
USDA-10,Westat,USDA,ERS,"A competition to find automated, yet effective, ways of linking USDA nutrition information to 750K food items in a proprietary data set of food purchases and acquisitions. Competing teams used a number of  AI methods including Natural Language Processing (NLP), random forest, and semantic matching.",Operation and Management,,,,In-house,Yes,,"[""Natural Language Processing"",""Machine Learning"",""Other""]",Agency Generated,Yes,,Yes,Yes
USDA-11,Land Change Analysis Tool (LCAT),USDA,FPAC,We employ a random forest machine learning classifier to produce high resolution land cover maps from aerial and/or satellite imagery.  Training data is generate from a custom-built web application.  We built and operate a 192-node docker cluster to parallize CPU-intensive processing tasks.  We are publishing results through a publicly available  Image service.  To date we have mapped over 600 million acres and have generated over 700 thousand traiing samples.,Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,Yes,https://cran.r-project.org/web/packages/randomForest/randomForest.pdf<br>https://cran.r-project.org/web/packages/clhs/clhs.pdf,Yes,Yes
USDA-12,OCIO/CDO Council Comment Analysis Tool,USDA,Federal CDO Council,"The Comment Analysis pilot has shown that a toolset leveraging recent advances in Natural Language Processing (NLP) can aid the regulatory comment analysis process. We developed tools that help comment reviewers identify the topics and themes of comments, as well as group comments that are semantically similar. Tools like these offer significant value by creating efficiencies through novel insights and streamlined processing of comments, reducing duplicative, upfront development efforts across government, and ultimately realizing cost savings for agencies and the USG. 
",Development and Acquisition,,,,In-house,Yes,,"[""Natural Language Processing""]",From another Agency/Collaborator,Yes,https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgithub.com%2Fkenambrose-GSA%2FCDO-Council-Public-Comment-Analysis-Project.git&data=04%7C01%7C%7Cae1c2e505f5f4cb50f0e08d9453f6ede%7Ced5b36e701ee4ebc867ee03cfa0d4697%7C0%7C0%7C637616961007063,Yes,Yes
USDA-13,Retailer Receipt Analysis,USDA,FNS,"The Retailer Receipt Analysis is a Proof of Concept (POC) that uses Optical Character Recognition (OCR), an application of artificial intelligence on a sample (no more than 1000) of FNS receipt and invoice data. Consultants will use this data to demonstrate how the existing manual process can be automated, saving staff time, ensuring accurate review, and detecting difficult patterns. The goal of this POC will pave the way for a review system that (1) has an automated workflow and learns from analyst feedback (2) can incorporate know SNAP fraud patterns, look for new patterns, and visualize alerts on these patterns on retailer invoices and receipts.",Development and Acquisition,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,No,,No,No
USDA-14,Ecosystem Management Decision Support System (EMDS),USDA,Forest Service,"EMDS is a spatial decision support system for landscape analysis and planning that runs as a component of ArcGIS and QGIS. Users develop applications for their specific problem that may use any combination of four AI engines for 1) logic processing, 2) multi-criteria decision analysis, 3) Bayesian networks, and Prolog-based decision trees.",Operation and Management,,,,Contracted,Yes,,"[""Machine Learning""]",Agency Generated,Yes,,No,Yes
USDA-15,Wildland Urban Interface - Mapping Wildfire Loss,USDA,Forest Service,"This is a proof-of-concept study to investigate the use of machine learning (deep learning / convolutional neural networks) and object-based image classification techniques to identify buildings, building loss, and defensible space around buildings before and after a wildfire event in wildland-urban interface settings.",Development and Acquisition,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,No,https://www.sciencedirect.com/science/article/pii/S221242092100501X,No,No
USDA-16,CLT Knowledge Database,USDA,Forest Service,"The CLT knowledge database catalogs cross-laminated timber information in an interface that helps users find relevant information. The information system uses data aggregator bots that search the internet for relevant information. These bots search for hundreds of keywords and use machine learning to determine if what is found is relevant. The search engine uses intelligent software to locate and update pertinent CLT references, as well as categorize information with respect to common application and interest areas. As of 2/24/2022, the CLT knowledge database has cataloged >3,600 publications on various aspects of CLT. This system fosters growth of mass timber markets by disseminating knowledge and facilitating collaboration among stakeholders, and by reducing the risk of duplication of efforts. Manufacturers, researchers, design professionals, code officials, government agencies, and other stakeholders directly benefit from the tool, thereby supporting the increasing use of mass timber, which benefits forest health by increasing the economic value of forests.",Operation and Management,,,,Contracted,Yes,,"[""Machine Learning""]",Purchased,Yes,,Yes,No
USDA-17,RMRS Raster Utility,USDA,Forest Service,"RMRS Raster Utility is a .NET object oriented library that simplifies data acquisition, raster sampling, and statistical and spatial modeling while reducing the processing time and storage space associated with raster analysis. It includes machine learning techniques.",Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,No,https://collab.firelab.org/software/projects/rmrsraster,Yes,No
USDA-18,TreeMap 2016,USDA,Forest Service,"TreeMap 2016 provides a tree-level model of the forests of the conterminous United States. It matches forest plot data from Forest Inventory and Analysis (FIA) to a 30x30 meter (m) grid. TreeMap 2016 is being used in both the private and public sectors for projects including fuel treatment planning, snag hazard mapping, and estimation of terrestrial carbon resources. A random forests machine-learning algorithm was used to impute the forest plot data to a set of target rasters provided by Landscape Fire and Resource Management Planning Tools (LANDFIRE: https://landfire.gov). Predictor variables consisted of percent forest cover, height, and vegetation type, as well as topography (slope, elevation, and aspect), location (latitude and longitude), biophysical variables (photosynthetically active radiation, precipitation, maximum temperature, minimum temperature, relative humidity, and vapour pressure deficit), and disturbance history (time since disturbance and disturbance type) for the landscape circa 2016.",Operation and Management,,,,In-house,Yes,,"[""Machine Learning""]",Agency Generated,Yes,,No,No
