Title,Agency,Summary,Development Stage,Techniques
"Adaptive Cyber-Physical Resilience 
for Building Control Systems","Pacific Northwest National 
Laboratory","Deep learning models are used for predicting the operation of building 
energy systems, and detecting and diagnosing the health state or cyber 
attack presence, and for optimizing the building energy system 
response to provide resilient operation and sustained energy efficiency.",,
"Advanced energy, batteries, and 
industrial efficiency","Lawrence Livermore National 
Laboratory","Leveraging data science to navigate design space for better batteries 
and energy storage as well as scale up of various technologies",,
Advanced Image Segmentation,"National Energy Technology 
Laboratory","U-Net CNN segmentation to isolate pore and fluid from computed 
tomography scans of multiphase transport in cores.",,"Neural Networks, 
Other"
"Advanced materials science, 
engineering, and exploration relevant 
to the other key technology focus 
areas","Lawrence Livermore National 
Laboratory","Enabling machine learning based technology to specialized materials for 
superior performance for scientific research and manufacturing systems",,
"Advanced model to forecast 
offshore landslide risks and marine 
geohazards","National Energy Technology 
Laboratory","This research will use data and models from the Offshore Risk Modeling 
(ORM) with intelligent databases, artificial intelligence (AI)/ML, big data, 
and other advanced computing technologies to address offshore 
subsurface natural-engineered system challenges, such as 
characterization and mapping of geologic hazards, safe operations, 
equipment reliability, and environmental assessments.",,"Big Data, Natural 
Language 
Processing, Other"
"Advanced subsurface imaging, 
lower energy cost, impacts, and 
improved resolution","National Energy Technology 
Laboratory","More detailed analysis and simulation of a closed cycle pulsed MHD 
generator will be performed in this subtask. The numerical code will be 
used to produce an optimized system which achieves a 10 MWe power 
output over a 10s duration with a total duty cycle of 2 minutes. The 
expected output of this task is an optimized concept as a function of the 
various input and design parameters for the system (e.g., magnet size, 
pebble bed heater size).",,"Big Data, Neural 
Networks, Other"
"Advanced subsurface imaging, 
lower energy cost, impacts, and 
improved resolution","National Energy Technology 
Laboratory","More detailed analysis and simulation of a closed cycle pulsed MHD 
generator will be performed in this subtask. The numerical code will be 
used to produce an optimized system which achieves a 10 MWe power 
output over a 10s duration with a total duty cycle of 2 minutes. The 
expected output of this task is an optimized concept as a function of the 
various input and design parameters for the system (e.g., magnet size, 
pebble bed heater size).",,"Artificial 
Intelligence, Other"
"Advanced subsurface imaging, 
lower energy cost, impacts, and 
improved resolution","National Energy Technology 
Laboratory","More detailed analysis and simulation of a closed cycle pulsed MHD 
generator will be performed in this subtask. The numerical code will be 
used to produce an optimized system which achieves a 10 MWe power 
output over a 10s duration with a total duty cycle of 2 minutes. The 
expected output of this task is an optimized concept as a function of the 
various input and design parameters for the system (e.g., magnet size, 
pebble bed heater size).",,"Neural Networks, 
Other"
"Advancing Market-Ready Building 
Energy Management by Cost-
Effective Differentiable Predictive 
Control","Pacific Northwest National 
Laboratory","An AI based differentiable programming framework for domain aware 
data efficient predictive modeling and AI based control policy synthesis 
as well as methods for safety verification and online learning. Domain 
aware deep learning models are used for learning and predicting the 
response of building systems and components and for optimizing the 
building energy system response to provide resilient operation and 
sustained energy efficiency.",,
AI Denoising,Fermi National Accelerator,"This program aims to develop generative models for quickly simulating 
showers of particles in calorimeters for LHC experiments",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks, 
Hierarchical 
Generative Model"
"AI techniques for identification of 
suitable delivery parking spaces in 
an urban scenario","Pacific Northwest National 
Laboratory","We are using AI (Graph Neural Network) to determine importance of 
parking spaces in a city network for curb management to promote 
adoption of electric vehicles for freight delivery",,
"AI used for predictive modeling and 
real time control of traffic systems","Pacific Northwest National 
Laboratory","Domain aware deep learning models are used for predictive modeling of 
traffic. Deep learning based predictive controllers are trained from 
simulated data to optimize the traffic signaling and coordination for 
improved traffic flow and reduced energy consumption and GHG 
emissions",,
AI used to interpret sensor data.,"National Energy Technology 
Laboratory","AI is being used to classify sensor data.  An AI algorithm was written 
and trained with a wide range of known sensor conditions to enable 
automatic classification of sensor data into likely constituent gas 
concentrations.",,Other
